"KAWASAN"|"WITEL"|"STO"|"ND_SPEEDY"|"BULAN_SALES"|"IS_CT0"|"KWADRAN_INET"|"STATUS_CABUT_DEMAND"|"AGING"|"UNIT"|"PRODUCT"|"CCAT"|"PLBLCL"|"LINECATS_FAMILY_LNAME"
DIVRE 2|BANTEN|TJO|"122435203088"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|PLM|"121711235887"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|KAL|"122217260651"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|CBI|"122373218026"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKBAR|CKG|"121703256002"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|GAN|"121117229849"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKUT|MKR|"122519226749"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|SLP|"121701226614"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|JTN|"121101257303"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|SRP|"122418240381"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|RMG|"121110209116"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PKY|"122844316053"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|KBY|"121202255046"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|DEP|"122325254942"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|BLJ|"122426204484"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|KLB|"122847257375"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|PSR|"121114305371"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|PLM|"121711235799"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|GAN|"121117208241"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKPUS|KMY|"121509229411"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|DEP|"122325217713"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|DMG|"122305212753"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|CPD|"121423220496"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|CKA|"122427305198"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
