"BULAN"|"WITEL"|"STO"|"STATUS_LOSS"|"TOTAL"|"PLEVEL1"|"PLEVEL2"|"JUMLAH"|"SUBTOTAL"
"202209"|BANTEN|BAY|New CT0|0|ARPU_KW2|"300K s/d 500K"|18|0
"202209"|BANTEN|BAY|New CT0|0|ARPU_KW2|"500K s/d 700K"|2|0
"202209"|BANTEN|BAY|New CT0|0|ARPU_KW2|< 300K|8|0
"202209"|BANTEN|BJO|Churn APS|0|ARPU_KW2|< 300K|1|0
"202209"|BANTEN|BJO|Churn APS|0|ARPU_KW2|<150K|2|0
"202209"|BANTEN|BJO|Churn APS|0|ARPU_KW2|<250K|3|0
"202209"|BANTEN|BJO|New CT0|0|ARPU_KW2|"300K s/d 500K"|17|0
"202209"|BANTEN|BJO|New CT0|0|ARPU_KW2|< 300K|14|0
"202209"|BANTEN|BJT|Churn APS|0|ARPU_KW2|"300K s/d 500K"|1|0
"202209"|BANTEN|BJT|Churn APS|0|ARPU_KW2|< 300K|2|0
"202209"|BANTEN|BJT|New CT0|0|ARPU_KW2|"300K s/d 500K"|4|0
"202209"|BANTEN|BJT|New CT0|0|ARPU_KW2|< 300K|5|0
"202209"|BANTEN|BLJ|Churn APS|0|ARPU_KW2|"300K s/d 500K"|3|0
"202209"|BANTEN|BLJ|Churn APS|0|ARPU_KW2|< 300K|5|0
"202209"|BANTEN|BLJ|Churn APS|0|ARPU_KW2|<250K|1|0
"202209"|BANTEN|BLJ|New CT0|0|ARPU_KW2|"300K s/d 500K"|21|0
"202209"|BANTEN|BLJ|New CT0|0|ARPU_KW2|< 300K|14|0
"202209"|BANTEN|BLJ|New CT0|0|ARPU_KW2|>= 700K|2|0
"202209"|BANTEN|BRS|Churn APS|0|ARPU_KW2|<150K|1|0
"202209"|BANTEN|BRS|Churn APS|0|ARPU_KW2|<250K|2|0
"202209"|BANTEN|BRS|Churn APS|0|ARPU_KW2|<500K|2|0
"202209"|BANTEN|BRS|New CT0|0|ARPU_KW2|"300K s/d 500K"|15|0
"202209"|BANTEN|BRS|New CT0|0|ARPU_KW2|"500K s/d 700K"|7|0
"202209"|BANTEN|BRS|New CT0|0|ARPU_KW2|< 300K|16|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|"300K s/d 500K"|24|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|"500K s/d 700K"|2|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|< 300K|9|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|<150K|6|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|<250K|4|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|<500K|3|0
"202209"|BANTEN|CKA|Churn APS|0|ARPU_KW2|>= 700K|2|0
"202209"|BANTEN|CKA|New CT0|0|ARPU_KW2|"300K s/d 500K"|100|0
"202209"|BANTEN|CKA|New CT0|0|ARPU_KW2|"500K s/d 700K"|20|0
"202209"|BANTEN|CKA|New CT0|0|ARPU_KW2|< 300K|65|0
"202209"|BANTEN|CKA|New CT0|0|ARPU_KW2|>= 700K|51|0
"202209"|BANTEN|CKA|New CT0 1|0|ARPU_KW2|"300K s/d 500K"|2|0
"202209"|BANTEN|CKA|New CT0 1|0|ARPU_KW2|< 300K|4|0
"202209"|BANTEN|CKD|Churn APS|0|ARPU_KW2|"300K s/d 500K"|5|0
"202209"|BANTEN|CKD|Churn APS|0|ARPU_KW2|< 300K|1|0
"202209"|BANTEN|CKD|Churn APS|0|ARPU_KW2|<150K|1|0
"202209"|BANTEN|CKD|Churn APS|0|ARPU_KW2|<250K|2|0
"202209"|BANTEN|CKD|Churn APS|0|ARPU_KW2|>= 700K|1|0
"202209"|BANTEN|CKD|New CT0|0|ARPU_KW2|UNKNOWN|1|0
"202209"|BANTEN|CKD|New CT0|0|ARPU_KW2|"300K s/d 500K"|22|0
"202209"|BANTEN|CKD|New CT0|0|ARPU_KW2|"500K s/d 700K"|1|0
"202209"|BANTEN|CKD|New CT0|0|ARPU_KW2|< 300K|12|0
"202209"|BANTEN|CKD|New CT0|0|ARPU_KW2|>= 700K|1|0
"202209"|BANTEN|CLG|Churn APS|0|ARPU_KW2|"300K s/d 500K"|25|0
"202209"|BANTEN|CLG|Churn APS|0|ARPU_KW2|"500K s/d 700K"|2|0
"202209"|BANTEN|CLG|Churn APS|0|ARPU_KW2|< 300K|9|0
