"BULAN"|"WITEL"|"STO"|"TOTAL"|"PLEVEL1"|"PLEVEL2"|"JUMLAH"|"SUBTOTAL"
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|UNKNOWN|250|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|ACCEPTABLE|321|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|BAD|34|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|GOOD|539|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|VERY GOOD|249|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|UNKNOWN|484|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|ACCEPTABLE|382|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|BAD|26|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|GOOD|826|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|VERY GOOD|766|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|UNKNOWN|182|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|ACCEPTABLE|220|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|BAD|42|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|GOOD|192|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|VERY GOOD|91|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|UNKNOWN|1399|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|ACCEPTABLE|801|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|BAD|72|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|GOOD|1367|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|VERY GOOD|1232|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|UNKNOWN|404|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|ACCEPTABLE|627|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|BAD|77|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|GOOD|733|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|VERY GOOD|517|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|UNKNOWN|4819|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|ACCEPTABLE|1808|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|BAD|166|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|GOOD|4249|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|VERY BAD|4|0
